rating,date,body
4.0,10 October 2023,"I've been using this headphone since last 2 months approx. So from the start the box of headphones consist of headphones type c charger and aux. And from my use since last two months I can definitely say that this headphones are value for money. Like I use them for gym, online classes and for gaming too and they provide really nice sound quality with dual pairing mode. About the battery backup it's insane like if I charge them 100% then i don't need to charge them for another 3 4 days and it get charged really quick. Then about comfort I have to give it 7/10 they are good in other ways but when i wear it for like more than 2 or 3 hours my ears start to ache it's painfull sometimes but about looks it's solid 10/10 they look insanely good if you are buying for gym or any sport purpose this headphone are really good. In the aux mode it gives problem sometimes. It even have slot for SD card. I haven't use that yet so can't tell about that anything. But in this price range if you are confuse between boat rockerz 450 and this headphones I'll suggest you should go with this headphones. Overall this headphones are value for money (₹1699). If this headphones are in stock but price is more than 2000rs I think you should go with another options cause this headphones are not worth more than 1700rs i bought them because they were for 1699 and this colour is the only colour that looks good in this headphones. And about sound the most important thing it's not that good and it's not that bad on a scale it is 8/10 so overall rating is 9/10"
3.0,10 June 2025,Uncomfortable
5.0,18 October 2023,"In one word,  good ""VALUE FOR MONEY"". Bye bye.

For those who want all goods and bads here they are:

1. Build Quality
  a. On Ear headphones (not over ear headphones)
  b. Lighter overall weight than its competitors (187 grams)
  c. Neither too Sturdy not too Flimsy
  d. Foldable (earcups)
  e. Chance for fingerprint attraction
  f. Very precisely fits my beefy head
  g. Ear cups are soft and will suit if u have average sized ears
  h. Matte finish (surface is not reflective)
  i. Fit on my ears is rather small and its not as good as over head earphones.

2. Sound Quality
  a. Great Noise Cancellation for this price
  b. Volume can get pretty loud
  c. Heavy Audio leakage
  d. Great Bass
  e. Mids are decent

3. Ports &amp; Buttons
  a. USB -  C charging port
  b. 3.5mm headphone Jack
  c. SD Card slot that supports my 32GB Sandisk
  d. Tactical buttons usable for almost all media controls including voice assistant

4. One Year Warranty card which u should claim

5. Battery life good lasted me 5 days for a power user like me

6. Audio Quality is great - Very balanced instead of fancy stuff like Bass boosted, etc. Thus giving user the control to equalize their songs.

7. Bluetooth Connectivity is alright, only once out of a week did it struggle to connect to my phone but still whenever I turn on my bluetooth pairs up quickly.

8. Take occassional breaks while using this as earcups are big enough to cover the hollow parts of your ear at the same time fitting perfectly on top of my skeletal structures thus creating pain with continous usage."
5.0,6 September 2025,Very good sound very nice voice
2.0,30 August 2025,"I bought noise 2 and its build quality is worse, it broke while adjusting to my head 😤. But the sound quality is good"
5.0,23 August 2025,Its too good i like it because in headphones there fm memory and with aux and Bluetooth compulsory but i will the quality of sound and the worthy not a waste of money
2.0,18 August 2025,"Stupid headphones and brand,  I've just use this headphones for 3 months, it already stopped working, it's power button , volume buttons, stopped working , I even tried to file a complaint, but it's not submitting"
4.0,2 June 2025,All functions working
3.0,6 May 2025,Headphones are good sound and call quality is clear and comfortable for wear for long hours. Build quality needs to be improvement and the earcup needs more cushioning.
5.0,26 August 2025,"For the price range, the best quality headphone you could ever get. Trust me, it will be a good investment"
5.0,28 August 2025,Nice .. working perfectly after approx 2years of use.. FM playing is somewhat tricky..but perfect
4.0,10 February 2024,
4.0,6 March 2025,"i thing its the best in its price....... Awesome product . verified purchase but one thing that I may complain is that you can't use it continuously for more that 2 hours as your ears start to pain and make discomfort.
design good
mic quality ok ok
sound quality good at 60 - 70 % volume at 100% volume there is leakage of sound
weight distribution is good but it is not water resistant so make a distance with water"
4.0,26 May 2025,Mic not good
4.0,28 January 2024,"So, I got these headphones delivered 3 days ago and I have been using them 5hours everyday since then. Here are my views-
1.The build quality is decent. But, there are marks of My fingerprints on body. Also, the cushions are really good and these headphones are on ear not over ears one.
2. Battery life has been decent and due to type c port availability, it charges at decent speed.
3. Talking about comfort so my head and ears are big so these are not very comfortable but you can still wear them for around 1 hour and take break of 10 min after that. It is I think mainly designed for small ears.
4. Now, sound quality and bass has been very solid for this price range.
5. The biggest concern is noise leaking. After 50% you cannot go without making someone who is near you listen the song you are listening but for online classes and shows, voice leaking starts at 60-65%.
Overall, these are decent headphones not for someone like me who has big ears, and if you want to purchase headphones without noise leaking then go with any other brand than noise.
Forgot to mention that the quality of mic is okish and needs improving and sound canceling and anc is decent too not best.
If you are getting a deal for 1300 or 1500 then purchase these.
👋 bye"
4.0,19 May 2025,This product is very good and that's problem solving product.
5.0,10 August 2025,Great. Works great and long battery hours once u take it from your head it turns off for power efficiency and i only charge monthly once it’s fit is also great  and weightless the sound quality is a banger
5.0,26 August 2025,Amezing product ✅✅ i just love it 😘
3.0,15 May 2025,Good Quality and Best Sound
4.0,7 May 2025,"Review for Sound :- Best Bass and Treable
Review for Company:- Noise is One of the Best Company for Earphones And headphones"
4.0,10 May 2025,"The product is soooo good , good fitting,nice sound quality,easy connectivity, button function are good all good 😊😊"
5.0,30 August 2025,Too good
5.0,24 August 2025,Please send me white color
5.0,14 April 2025,"The Noise Two Wireless Headphone delivers impressive sound quality with deep bass and crisp highs. Its comfortable fit and reliable battery life make it perfect for daily use. Bluetooth connectivity is smooth, and the touch controls are responsive. A solid choice for both work and play.
  And Also The Noise Two Wireless Headphone combines sleek design with high-performance audio. Featuring dynamic 40mm drivers, it delivers rich bass and clear mids, ideal for music, calls, and media. The Bluetooth 5.3 ensures seamless connectivity and ultra-low latency, while the ergonomic build and lightweight design offer lasting comfort. With up to 50 hours of playtime and intuitive touch controls, it's a powerhouse for audio enthusiasts on the go.
Overall The Product is Best In this Price Range..... 👍👍👍👍👍"
4.0,16 July 2024,"I did purchased this earphone, and I love the bluetooth range, and I love earphone and the sound. At last, I have to return the product due to some defects, which I wish it's not there.

The functionality and sound and everything else is good, except, there's some part moving inside the right ear cup. May be loose speaker. When I move my head wearing it, it moves and give a grinding sound, and since it's on the ear, it's very loud. It's a manufacturing defect (of course) but not electronically.

I want a replacement, but they can't do that, and I have the option for refund only.

I still want it now also, but I get another brand, instead. I believe that's an isolated incident. Go for it."
5.0,11 August 2025,"It's look premium
And the songs quality is OP not to much loudness but overall it's good
and  build quality is also good 💯"
5.0,30 August 2025,Good
5.0,24 August 2025,Best headphones
4.0,1 May 2025,very good product but my button failed in 1 year and a month
5.0,4 August 2025,Its not working properly and there are no return policy and accessories missing . Dont loose your money. Just to say this I’ve give 5 star and for this product 0.
3.0,8 March 2025,"Not loud like other brands in same price point.
Not waterproof at all, even humidity also can affect function of headphones. These headphones should worth about 1200 to 1300, this product not satisfactory to worth 1500."
4.0,7 May 2025,Good head phone a quality value for money
5.0,22 August 2025,Good quality
5.0,4 August 2025,"The product is too good .
I worth it by buying it . It is bothe wire and wireless system
Really good product
And it looks so classy"
3.0,31 March 2025,"Product is better in its not in-ear or off-ear headphones, so it can difficult for long time use"
4.0,5 May 2025,Sound leakage
2.0,12 July 2025,Not good quality product in starting everything is fine and I purchased this on 21 April and broke in just 4 months
4.0,21 December 2023,"really liked the design but there is so much noise leakage
Edit - this is my review after 1.5 years sound is good in a noisy environment you may want it to be a bit louder and big issue was noise leakage at max volume however i wanted it for gym so it was fine because gym noise cancels the leakage . bought it for 1700 ig now it’s for 1300 which is a steal they look good sound good easy to carry and crazy battery life just charge and forget. also one side stopped working in just 2-3 months so i called the customer service and they repaired it free of cost no questions asked as it was in warranty but you may want to consider that and biggest issue was the build quality after 6-7 months one of the hinge got broken so i glued it but after another 7 months other side of headphone gave a big crack out of nowhere which isn’t repair able so they are no more ,one thing for sure they won’t last you more than a year"
4.0,11 March 2025,Very good sound quality. Came packed well and intact. Mic is not the best but for the pricepoint it is the best. Very comfortable and lightweight. I love the dual connectivity feature.
5.0,16 August 2025,Nice product
2.0,6 August 2025,It's heavy. Not comfortable
3.0,9 December 2023,"1. Sound quality is good.
2. Bass quality is also good.
3. Battery backup is superb.
4. Charging is also fast (not too fast but yeah, fast) and type-C port is a good addition.
5. Buttons are tactile and good so you won't have any problems with that.
6. Matte finish on the surface feels premium but it gets fingerprint smudges so try to keep it clean.
7. SD-card slot and aux support is appreciable.
8. Not durable because it is completely built with plastic, a little amount of metal is used at sides (under elongated part) so if you sleep while wearing it, then only God can save it.
9. After sometime, the points from where it collapses/folds gets loosened up, and you won't be able to jog while wearing it because of its loose fitting.
10. It is a good option at Rs. 1500, if its priced higher then look for other options."
5.0,2 September 2025,
5.0,11 August 2025,"Everything is excellent , its just its lil small for big ears"
5.0,11 August 2025,Wow nice 💯
2.0,21 July 2025,It is good 👍 but to much sound liking
1.0,15 September 2025,"The quantity of the product is not upto the mark.
The headbad is just a plastic and that too is not a quality one the thickness is very light. And it is not flexible enough."
5.0,8 August 2025,Good sounds quality
4.0,24 March 2025,Button are not at right side ... Good product but ... Their's a button issue
3.0,8 March 2025,"Sound quality is not as good as of ear pods

Music appears very flat"
3.0,17 February 2024,"I don't know if anyone faced this but mine boat headphone blueetoth gets automatically disconnected from pairing. I don't know how and why but this is a really bad downside moreover 2k is not a good money for this headphone since the audio quality is just GOOD ( like avg, not worth 2k )
I suggest to go for it under 1500.
ALSO as I mentioned mine have blue tooth pairing problem ( it disconnects itself after some time ) so I don't know if u will face this problem ( since it's not common ) but I will write down my TRUTHFUL EXPERIENCE here for those of you who are wishing to purchase this.
*Do like this comment sho that it may reach a wide range of people"
5.0,7 August 2025,Best 🌹💖
3.0,4 February 2024,"Bought it for the inbuilt FM functionality (which doesn't work well to be honest). Rest is fine, BT connectivity dropped a lot the first day but now it is fine. It is too loud though, the lowest volume is not low enough. Treble is quite good but bass frequencies have issues. Comfort-wise it beats even high-end headphones. I am a sucker for light-weight headphones and these are the second-lightest ones I have ever worn. The ear cups are fine as well. They could have made them broader and this would have had the over-ear name. It also cancels a bit of noise physically. No ANC of course. I was about to return it after the first day but kept it anyway and don't regret. Good little headphones."
5.0,7 August 2025,Best 🌹💖
5.0,26 July 2025,Noise two is best headphones 🎧 vary nice voice is very nice noise
5.0,1 August 2025,Best for gaming must buy
3.0,17 September 2024,"It's affordable but the quality can b much better for the price, although it's still needs developments as it lags and has high latency. Anyways the design is and the sound quality is also good, battery life is amazing it goes like for more than 3 days for me. Bluetooth connection might a lil bit slow but he mic quality is good. It's a good product but can be better for the price."
3.0,11 February 2025,"Should quality is good,
For long use ears pain, not suggesting for long use, should take breaks"
1.0,24 August 2025,"<a href=""javascript:void(0)"" role=""button"" class=""a-popover-trigger a-declarative ive-player-label-name aok-hidden""><i class=""a-icon a-icon-popover""></i></a>"
1.0,11 September 2025,"With in 2 days power button malfunction, did the trouble shooting, contacted the online service, no solution, please read replacement policy before buying. Buying Noise from Amazon is a pain."
5.0,26 July 2025,Good product 👌
4.0,16 November 2022,"Decent headphone. You will not go wrong with this.Not recommended for hot weather or if you ear sweat a lot.
Else recommended for the price. I purchased at 1.5K

Sound quality is good. Very good for listening to YouTube videos, movies etc. Also good for songs.

(Edit: after 2 weeks use)
Tested in iPhone 14 Pro, Redmi K20 Pro, and my PC (aux cable). Everything works totally fine.
Haven't tried SD card playback (I don't need to).
Related to calls (didn't test), i do not prefer over the ear headphones for calls, so i have a alternative neckband for calls. So can't comment on that.

But i would recommend not to go with white like me. This is like pure white. So any small dirt or scratch will get noticed easily. Go for darker colours unless white is necessary.

Build is nice and doesn't feel cheap.

honestly very good deal for 1.5K not gonna lie.

And let me be super clear, this is NOT A BIASED or paid REVIEW. Pure based on usage."
5.0,17 July 2025,Really good quality excellent sound 👌 very soft and comfortable on ears I would buy it again 😊
Shubham Surve,4.0,29 July 2025,4.0 out of 5 stars
saksham makani,5.0,6 August 2025,5.0 out of 5 stars
MAHADEVAN PAVITHRAN,5.0,22 March 2025,5.0 out of 5 stars
Krishnakumar,1.0,27 June 2025,1.0 out of 5 stars
Ajay,1.0,18 July 2025,1.0 out of 5 stars
Pallavi R.,5.0,5 September 2024,5.0 out of 5 stars
Vikas Sharan,5.0,10 August 2025,5.0 out of 5 stars
Joseph Serrao,5.0,24 August 2025,5.0 out of 5 stars
Gaurav Patel,5.0,16 February 2025,5.0 out of 5 stars
Karan Vakharia,5.0,16 February 2025,5.0 out of 5 stars
khushali,5.0,21 February 2025,5.0 out of 5 stars
Amazon Customer,5.0,22 April 2025,5.0 out of 5 stars
Pravit P.,5.0,16 April 2025,5.0 out of 5 stars
Aditya W,5.0,25 March 2025,5.0 out of 5 stars
Natasha,5.0,26 March 2025,5.0 out of 5 stars
Akanksha,5.0,22 March 2025,5.0 out of 5 stars
Dhrumil Patel,5.0,22 March 2025,5.0 out of 5 stars
Aditi Shah,5.0,13 March 2025,5.0 out of 5 stars
Sarthak,5.0,15 February 2025,5.0 out of 5 stars
Ritesh,5.0,15 February 2025,5.0 out of 5 stars
Anand,5.0,11 February 2025,5.0 out of 5 stars
RAJENDRA ONLINE,5.0,15 February 2025,5.0 out of 5 stars
shrini,5.0,15 March 2025,5.0 out of 5 stars
Kaustubh,1.0,6 October 2024,1.0 out of 5 stars
madhuri deepthi,5.0,24 May 2025,5.0 out of 5 stars
Abhishek Kumar,3.0,11 June 2025,3.0 out of 5 stars
Mohan K.,5.0,28 July 2025,5.0 out of 5 stars
Jagadesh,1.0,12 July 2025,1.0 out of 5 stars
BHUPENDER YADAV,5.0,14 January 2025,5.0 out of 5 stars
Shashank kanaujia,5.0,7 January 2025,5.0 out of 5 stars
Shek Baba,5.0,14 January 2025,5.0 out of 5 stars
poonam khandalwal,5.0,14 January 2025,5.0 out of 5 stars
Manan Goel,5.0,6 January 2025,5.0 out of 5 stars
Rakesh,5.0,10 April 2025,5.0 out of 5 stars
VASUDEV SINGHANIA,5.0,8 January 2025,5.0 out of 5 stars
Krishna a.,5.0,13 December 2024,5.0 out of 5 stars
Jaspreet,5.0,10 February 2025,5.0 out of 5 stars
Hammad Malik,3.0,19 July 2025,3.0 out of 5 stars
Gaurav,5.0,10 March 2025,5.0 out of 5 stars
Abhai S Rao,5.0,12 December 2024,5.0 out of 5 stars
vishal arora,5.0,4 March 2025,5.0 out of 5 stars
Ashish Kumar,5.0,4 April 2025,5.0 out of 5 stars
Rajat Agarwal,5.0,16 January 2025,5.0 out of 5 stars
Amazon Customer,5.0,26 March 2025,5.0 out of 5 stars
JJD,5.0,15 March 2025,5.0 out of 5 stars
Siddharth,5.0,1 March 2025,5.0 out of 5 stars
Ronney,5.0,31 January 2025,5.0 out of 5 stars
niki,5.0,5 February 2025,5.0 out of 5 stars
Vineet,5.0,1 February 2025,5.0 out of 5 stars
RAJESH DEB,5.0,17 February 2025,5.0 out of 5 stars
KS,1.0,2 February 2025,1.0 out of 5 stars
Fenil,5.0,16 August 2025,5.0 out of 5 stars
